path,relative_path,status,action,container,video_codec,audio_codec,duration,size_mb,reason,repaired_path,backup_path,error
C:\X1_Share\Recordings\TV\Sheriff Country [253391]\Season 01\Sheriff Country - S01E16 - Twenty Four Candles.mp4,TV/Sheriff Country [253391]/Season 01/Sheriff Country - S01E16 - Twenty Four Candles.mp4,ok,none,mpegts,h264,aac,2597.407333,466.4,ffprobe passed and file is TV-safe enough,,,
C:\X1_Share\Recordings\TV\Sheriff Country [253391]\Season 01\Sheriff Country - S01E18 - The Gambler.mp4,TV/Sheriff Country [253391]/Season 01/Sheriff Country - S01E18 - The Gambler.mp4,ok,none,mpegts,h264,aac,2578.450866,243.4,ffprobe passed and file is TV-safe enough,,,
"C:\X1_Share\Recordings\TV\St. Denis Medical [251941]\Season 02\St. Denis Medical - S02E01 - Aloha, Everyone.mp4","TV/St. Denis Medical [251941]/Season 02/St. Denis Medical - S02E01 - Aloha, Everyone.mp4",ok,none,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,1297.066667,547.2,ffprobe passed and file is TV-safe enough,,,
C:\X1_Share\Recordings\TV\St. Denis Medical [251941]\Season 02\St. Denis Medical - S02E02 - Mama Bear Activated.mp4,TV/St. Denis Medical [251941]/Season 02/St. Denis Medical - S02E02 - Mama Bear Activated.mp4,ok,none,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,1296.230748,509.4,ffprobe passed and file is TV-safe enough,,,
C:\X1_Share\Recordings\TV\St. Denis Medical [251941]\Season 02\St. Denis Medical - S02E16 - Experience with Human Babies.mp4,TV/St. Denis Medical [251941]/Season 02/St. Denis Medical - S02E16 - Experience with Human Babies.mp4,ok,none,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,1296.648707,402.8,ffprobe passed and file is TV-safe enough,,,
C:\X1_Share\Recordings\TV\St. Denis Medical [251941]\Season 02\St. Denis Medical - S02E18 - We Make Time.mp4,TV/St. Denis Medical [251941]/Season 02/St. Denis Medical - S02E18 - We Make Time.mp4,ok,none,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,1296.927347,352.0,ffprobe passed and file is TV-safe enough,,,
C:\X1_Share\Recordings\TV\Star Trek - Starfleet Academy [223530]\Season 01\Star Trek - Starfleet Academy - S01E09 - 300th Night.mp4,TV/Star Trek - Starfleet Academy [223530]/Season 01/Star Trek - Starfleet Academy - S01E09 - 300th Night.mp4,repaired,repaired,png_pipe,png,,0.0,426.7,missing/zero duration; video codec png may not be TV-safe,C:\X1_Share\Recordings\TV\Star Trek - Starfleet Academy [223530]\Season 01\Star Trek - Starfleet Academy - S01E09 - 300th Night.mp4,C:\X1_Share\Recordings\_MediaRenamer_Originals\20260511_231006\TV\Star Trek - Starfleet Academy [223530]\Season 01\Star Trek - Starfleet Academy - S01E09 - 300th Night.mp4,
C:\X1_Share\Recordings\TV\Star Trek - Starfleet Academy [223530]\Season 01\Star Trek - Starfleet Academy - S01E10 - Rubincon.mp4,TV/Star Trek - Starfleet Academy [223530]/Season 01/Star Trek - Starfleet Academy - S01E10 - Rubincon.mp4,ok,none,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,2640.944762,826.3,ffprobe passed and file is TV-safe enough,,,
C:\X1_Share\Recordings\TV\Talamasca - The Secret Order [256624]\Season 01\Talamasca - The Secret Order - S01E01 - We Watch. And We Are Always There.mp4,TV/Talamasca - The Secret Order [256624]/Season 01/Talamasca - The Secret Order - S01E01 - We Watch. And We Are Always There.mp4,ok,none,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,3125.243356,608.5,ffprobe passed and file is TV-safe enough,,,
C:\X1_Share\Recordings\TV\Talamasca - The Secret Order [256624]\Season 01\Talamasca - The Secret Order - S01E02 - A Wilderness of Mirrors.mp4,TV/Talamasca - The Secret Order [256624]/Season 01/Talamasca - The Secret Order - S01E02 - A Wilderness of Mirrors.mp4,ok,none,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,3030.97034,637.0,ffprobe passed and file is TV-safe enough,,,
